level=info msg="Queuing URLs for africaioc"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=218"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=161"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=222"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/upcomingExpeditions.php?id=4"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=333"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=101"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=102"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=342"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=144"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=186"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=206"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=103"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=345"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=143"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=104"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=194"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=185"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=346"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=120"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=184"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=279"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=195"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=187"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=196"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=261"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=105"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=262"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=264"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=107"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=272"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=131"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=134"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=159"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=112"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=257"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=121"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/egypt"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=51"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=284"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=135"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=122"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=123"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=115"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=285"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/comoros"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=287"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=59"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=150"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=288"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=61"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=289"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=116"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=114"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/angola"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=200"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=116"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=120"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/cameroon"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/ghana"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=113"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=121"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/benin"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=117"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=198"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/kenya"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=199"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/southafrica"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=203"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/togo"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/dr-congo"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=201"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/mauritius"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=124"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=338"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/madagascar"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=276"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=334"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=321"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=307"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/congo"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=303"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=70"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=304"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=305"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=301"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=139"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=306"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=310"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/mozambique"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=67"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=68"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=53"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=317"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=277"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=72"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=74"
