severity,constraint,path,message,focusURL,value,shape
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3obk59mc73f1m200,"{'type': 'Polygon', 'coordinates': [[[-128.17701209, 51.62693395], [-128.1138407, 51.62693395], [-128.1138407, 51.67805576], [-128.17701209, 51.67805576], [-128.17701209, 51.62693395]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj42bk59mc73f1nghg,"{'type': 'Point', 'coordinates': [-124.769333, 49.4868853]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3h3k59mc73f1kscg,"{'type': 'Point', 'coordinates': [-123.48602, 48.6511333333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2qbk59mc73f1hbv0,"{'type': 'Point', 'coordinates': [-123.486136666, 48.651106666]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj4ebk59mc73f1pf30,"{'type': 'Point', 'coordinates': [-65.19418839, 43.69840101]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2v3k59mc73f1i360,"{'type': 'Point', 'coordinates': [-126.174585, 48.42740667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3cjk59mc73f1k6ig,"{'type': 'Point', 'coordinates': [-127.531247, 51.601505]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2p3k59mc73f1h6kg,"{'type': 'Point', 'coordinates': [-123.03941666666, 48.76621666666]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2trk59mc73f1hs80,"{'type': 'Point', 'coordinates': [-123.3298616667, 49.0849816667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4i3k59mc73f1q270,"{'type': 'Polygon', 'coordinates': [[[-72.202002, 46.114083], [-73.137536, 46.114083], [-73.137536, 45.090157], [-72.202002, 45.090157], [-72.202002, 46.114083]]]}",geoPolygon
